Fluorescent 3460K										
Date	16.1.2009									
Time										
Integration time [ms]	10189									
Illuminance[lx]	610.8									
Irradiance[W/sqm]	2.35675									
CCT [K]	3457.75									
wavelength [nm]	Irradiance[W/(sqm*nm)]									
764	0.001722074
765	0.001693682
766	0.001644077
767	0.001580021
768	0.001509867
769	0.001441133
770	0.001379848
771	0.001331276
772	0.001300409
773	0.001279937
774	0.001258425
775	0.001224471
776	0.001171796
777	0.001114949
778	0.001064064
779	0.001026309
780	0.000998707
