"Luxeon Lumileds K2 Cool White 1000 mA"	
Date	
Time	
"Integration time [ms]"	
Illumi0ce[lx]	
Irradiance[W/sqm]	
"CCT [K]"	
"wavelength [nm]"	Irradiance[W/(sqm*nm)]
380	NaN
381	NaN
382	NaN
383	NaN
384	NaN
385	NaN
386	NaN
387	NaN
388	NaN
389	NaN
390	NaN
391	NaN
392	NaN
393	NaN
394	NaN
395	NaN
396	NaN
397	NaN
398	NaN
399	NaN
400	NaN
401	NaN
402	NaN
403	NaN
404	NaN
405	NaN
406	NaN
407	NaN
408	NaN
409	NaN
410	NaN
411	NaN
412	NaN
413	NaN
414	NaN
415	NaN
416	NaN
417	NaN
418	NaN
419	NaN
420	NaN
421	NaN
422	NaN
423	NaN
424	NaN
425	NaN
426	NaN
427	NaN
428	NaN
429	NaN
430	NaN
431	NaN
432	NaN
433	NaN
434	NaN
435	NaN
436	NaN
437	NaN
438	NaN
439	NaN
440	NaN
441	NaN
442	NaN
443	NaN
444	NaN
445	NaN
446	NaN
447	NaN
448	NaN
449	NaN
450	NaN
451	NaN
452	NaN
453	NaN
454	NaN
455	NaN
456	NaN
457	NaN
458	NaN
459	NaN
460	NaN
461	NaN
462	NaN
463	NaN
464	NaN
465	NaN
466	NaN
467	NaN
468	NaN
469	NaN
470	NaN
471	NaN
472	NaN
473	NaN
474	NaN
475	NaN
476	NaN
477	NaN
478	NaN
479	NaN
480	NaN
481	NaN
482	NaN
483	NaN
484	NaN
485	NaN
486	NaN
487	NaN
488	NaN
489	NaN
490	NaN
491	NaN
492	NaN
493	NaN
494	NaN
495	NaN
496	NaN
497	NaN
498	NaN
499	NaN
500	NaN
501	NaN
502	NaN
503	NaN
504	NaN
505	NaN
506	NaN
507	NaN
508	NaN
509	NaN
510	NaN
511	NaN
512	NaN
513	NaN
514	NaN
515	NaN
516	NaN
517	NaN
518	NaN
519	NaN
520	NaN
521	NaN
522	NaN
523	NaN
524	NaN
525	NaN
526	NaN
527	NaN
528	NaN
529	NaN
530	NaN
531	NaN
532	NaN
533	NaN
534	NaN
535	NaN
536	NaN
537	NaN
538	NaN
539	NaN
540	NaN
541	NaN
542	NaN
543	NaN
544	NaN
545	NaN
546	NaN
547	NaN
548	NaN
549	NaN
550	NaN
551	NaN
552	NaN
553	NaN
554	NaN
555	NaN
556	NaN
557	NaN
558	NaN
559	NaN
560	NaN
561	NaN
562	NaN
563	NaN
564	NaN
565	NaN
566	NaN
567	NaN
568	NaN
569	NaN
570	NaN
571	NaN
572	NaN
573	NaN
574	NaN
575	NaN
576	NaN
577	0.00022463
578	0.00097734
579	0.00173
580	0.0024828
581	0.0032355
582	0.0039882
583	0.0047409
584	0.0054936
585	0.0062463
586	0.006999
587	0.0077517
588	0.0085044
589	0.0092571
590	0.010011
591	0.010885
592	0.011758
593	0.012631
594	0.013504
595	0.014377
596	0.01525
597	0.016123
598	0.016997
599	0.01787
600	0.018743
601	0.019616
602	0.021427
603	0.023973
604	0.02652
605	0.029067
606	0.031863
607	0.03975
608	0.043737
609	0.047393
610	0.050789
611	0.058144
612	0.066548
613	0.073869
614	0.080963
615	0.0889
616	0.099915
617	0.11338
618	0.12195
619	0.1366
620	0.15769
621	0.17241
622	0.18494
623	0.22043
624	0.24412
625	0.26944
626	0.29669
627	0.32237
628	0.34805
629	0.3837
630	0.46251
631	0.51111
632	0.5625
633	0.62494
634	0.68
635	0.74341
636	0.81061
637	0.87126
638	0.91992
639	0.96427
640	0.99822
641	0.98729
642	0.97388
643	0.95987
644	0.88522
645	0.8234
646	0.73539
647	0.67222
648	0.64505
649	0.59492
650	0.47058
651	0.40207
652	0.33484
653	0.30217
654	0.2731
655	0.24628
656	0.22729
657	0.20787
658	0.18186
659	0.15586
660	0.12986
661	0.10925
662	0.099457
663	0.089668
664	0.079879
665	0.070091
666	0.060302
667	0.050715
668	0.044985
669	0.039255
670	0.033525
671	0.03027
672	0.027264
673	0.024258
674	0.021252
675	0.019515
676	0.017895
677	0.016274
678	0.014653
679	0.013645
680	0.013049
681	0.012454
682	0.011859
683	0.011263
684	0.010284
685	0.0090001
686	0.0077162
687	0.0064322
688	0.0051483
689	0.0047889
690	0.0045984
691	0.0044079
692	0.0042174
693	0.0040268
694	0.0038363
695	0.0036458
696	0.0034553
697	0.0032648
698	0.0030742
699	0.0028837
700	0.0026932
701	0.0025027
702	0.0023122
703	0.0021216
704	0.0019311
705	0.0017406
706	0.0015501
707	0.0013596
708	0.001169
709	0.00097853
710	0.00078801
711	0.00059749
712	0.00040697
713	0.00021645
714	2.5935e-005
715	NaN
716	NaN
717	NaN
718	NaN
719	NaN
720	NaN
721	NaN
722	NaN
723	NaN
724	NaN
725	NaN
726	NaN
727	NaN
728	NaN
729	NaN
730	NaN
731	NaN
732	NaN
733	NaN
734	NaN
735	NaN
736	NaN
737	NaN
738	NaN
739	NaN
740	NaN
741	NaN
742	NaN
743	NaN
744	NaN
745	NaN
746	NaN
747	NaN
748	NaN
749	NaN
750	NaN
751	NaN
752	NaN
753	NaN
754	NaN
755	NaN
756	NaN
757	NaN
758	NaN
759	NaN
760	NaN
761	NaN
762	NaN
763	NaN
764	NaN
765	NaN
766	NaN
767	NaN
768	NaN
769	NaN
770	NaN
771	NaN
772	NaN
773	NaN
774	NaN
775	NaN
776	NaN
777	NaN
778	NaN
779	NaN
780	NaN
