Fluo Incandia 2850K										
Date	16.1.2009									
Time	16:00									
Integration time [ms]	2346									
Illuminance[lx]	957.5									
Irradiance[W/sqm]	2.6596									
CCT [K]	2846.2									
wavelength [nm]	Irradiance[W/(sqm*nm)]									
765	0.000301114
766	0.000251995
767	0.000213096
768	0.000193778
769	0.000195341
770	0.00020604
771	0.000212473
772	0.000203698
773	0.000182602
774	0.000156981
775	0.000134694
776	0.000118551
777	0.000107408
778	9.92171E-05
779	9.24925E-05
780	8.76704E-05
