Mercury Vapor lamp	
Date	16.1.2009
Time	
Integration time [ms]	1011
Illuminance[lx]	1928
Irradiance[W/sqm]	5.7174
CCT [K]	4559
wavelength [nm]	Irradiance[W/(sqm*nm)]
771	0.002500907
772	0.002530682
773	0.002555046
774	0.002572746
775	0.002582478
776	0.002572016
777	0.002549737
778	0.002513575
779	0.002463803
780	0.002408478
