Low Pressure Sodium Vapor	
Date	16.1.2009
Time	
Integration time [ms]	144
Illuminance[lx]	5512
Irradiance[W/sqm]	10.856
CCT [K]	1765.8
wavelength [nm]	Irradiance[W/(sqm*nm)]
757	0.000405063
758	0.000559296
759	0.000970495
760	0.001747783
761	0.003005934
762	0.00479335
763	0.007013342
764	0.009547989
765	0.012255413
766	0.014834546
767	0.016874704
768	0.017962385
769	0.017892569
770	0.016800667
771	0.014847664
772	0.01224452
773	0.009321681
774	0.006461892
775	0.004051379
776	0.00225476
777	0.001032196
778	0.000312312
779	8.8429E-05
780	3.76222E-05
