Luxeon Rebel (LXML-PWW1)
Date	
Time	
Integration time [ms]	
Illuminance[lx]	
Irradiance[W/sqm]	
CCT [K]: 3100 K (nominal)
wavelength [nm]	Irradiance[W/(sqm*nm)]
723	2.52E-04
724	2.46E-04
725	2.40E-04
726	2.33E-04
727	2.27E-04
728	2.19E-04
729	2.14E-04
730	2.09E-04
731	2.02E-04
732	1.96E-04
733	1.91E-04
734	1.84E-04
735	1.78E-04
736	1.73E-04
737	1.70E-04
738	1.66E-04
739	1.58E-04
740	1.55E-04
741	1.51E-04
742	1.46E-04
743	1.42E-04
744	1.37E-04
745	1.36E-04
746	1.30E-04
747	1.27E-04
748	1.23E-04
749	1.19E-04
750	1.16E-04
751	1.12E-04
752	1.09E-04
753	1.06E-04
754	1.02E-04
755	1.01E-04
756	9.74E-05
757	9.37E-05
758	9.16E-05
759	8.98E-05
760	8.62E-05
761	8.39E-05
762	8.16E-05
763	8.01E-05
764	7.73E-05
765	7.44E-05
766	7.23E-05
767	7.04E-05
768	6.83E-05
769	6.66E-05
770	6.51E-05
771	6.26E-05
772	6.19E-05
773	5.84E-05
774	5.74E-05
775	5.68E-05
776	5.46E-05
777	5.29E-05
778	5.06E-05
779	4.99E-05
780	4.92E-05
