1nm version from Celine/Osram
Date	xxx
Time										
Integration time [ms]									
Illuminance[lx]								
Irradiance[W/sqm]										
CCT [K]	x
wavel	irrad relative
726	1.30E+01
727	2.61E+01
728	3.88E+01
729	8.68E+00
730	0.00E+00
731	1.63E+01
732	4.09E+01
733	1.61E+01
734	4.70E+01
735	2.12E+01
736	1.97E+01
737	6.38E+00
738	1.22E+02
739	8.05E+01
740	4.11E+01
741	1.81E+01
742	7.53E+01
743	7.10E+01
744	8.61E+01
745	4.85E+01
746	5.36E+00
747	2.53E+01
748	6.64E+00
749	0.00E+00
750	2.35E+01
751	1.10E+02
752	1.46E+02
753	2.83E+01
754	4.39E+01
755	2.58E+01
756	5.34E+01
757	2.58E+01
758	1.15E+01
759	9.04E+01
760	6.00E+01
761	3.75E+01
762	3.55E+01
763	3.11E+02
764	1.17E+02
765	6.21E+01
766	5.62E+00
767	3.60E+01
768	1.28E+00
769	2.91E+01
770	1.07E+01
771	3.83E+00
772	1.27E+02
773	3.37E+01
774	6.64E+01
775	5.11E-01
776	1.07E+01
777	8.68E+01
778	2.27E+01
779	0.00E+00
780	0.00E+00
