wavelength,sensitivity,SD
420,0.3653869535,NaN
452,0.6995267369,NaN
472,1,NaN
492,0.8587626439,NaN
509,0.4969998702,NaN
531,0.2306869048,NaN
551,0.0978483049,NaN
570,0.0277105454,NaN
591,0.0094266846,NaN
611,0.0021678658,NaN
