wavelength,sensitivity,SD
420,0.5921172765,8.6943899765
442,1,22.679364506
458,0.7472436178,9.7103985051
480,0.8085983758,14.6967911143
500,0.7563705697,NaN
520,0.5861571403,10.5587486313
540,0.366562157,2.1172295027
568,0.075637057,0.6703344119
580,0.0698978749,0.619470835
600,0.0256738107,0.2874235725
