wavelength,sensitivity,SD
420,0.5357477996,NaN
442,0.6864891275,NaN
458,1,NaN
480,0.8973674182,NaN
500,0.5075110991,NaN
520,0.3357299602,NaN
540,0.1058650179,NaN
568,0.0281356806,NaN
580,0.014401769,NaN
600,0.0035039222,NaN
