wavelength,sensitivity,SD
420,0.4930116057,NaN
445,0.7177155917,NaN
457,0.9570891237,NaN
470,0.9135120611,NaN
480,1,NaN
506,0.7986949756,NaN
521,0.2119290426,NaN
534,0.1542038575,NaN
557,0.0781370738,NaN
577,0.0378940853,NaN
